habilidad,habilidad_key
Grabación de vídeo,274af7a8132e64ed924711101ea35925
Html,3135f4019bee015e2d1ae7f77f9f3f64
Campañas,c1f975489b226898f21913c4927b16af
Fotografía,35e1dc90e6675cdb67a425223c9d6c8e
Multimedia,2f56b4f336dc97edf739bf79523fb9a6
Javascript,9e13b69d1d2da927102acaaaf7154a37
Publicidad,c96b1a9c0bb94fe29faeb805ea2b0e11
Css,0343dd0268c320841a78d7a66443e4cb
Creatividad,fab90e0c6149623786d6fbf6367e110c
Moda,21a38e29484b840835386b1252cbecec
Inglés,216df59d4dca0cc05c7678221afc6c97
Excel,c1d81af5835844b4e9d936910ded8fdc
Documentación técnica,3478cb9d15b6740e8f2de6856d7c9fe3
Desarrollo de negocio,4e4a66af9043338e4ccb8d13ecf7d9a4
Oferta,7547c77f8947f2968f65036347e6f2fe
Trabajo en equipo,159ee87e05ebcc3d066131c00c0222c6
Microsoft office,4e489857cbd0ad6c979a50f2d5b1e547
Gestión de operaciones,cf073c7e703414a711bb89efc933684e
Incentivos,1eba3c02c0891c527a2a7b55074548b9
Conocimientos de ofimatica,a238724a163cd7061980e8ecf83565d3
Comida a domicilio,a74cf442682f2c152d42cdfb6b9fd848
Moto propia,378f2ead1e43f4e2fd501f2b98a60332
Fines de semana,57b87dca6c85367ec9fc4d96530e18be
Contrato indefinido,8443aa0ac947a6df4589a4f4cd040372
Delivery,065ab3a28ca4f16f55f103adc7d0226f
Reparto,a240488a76714dc1b3927b5b85ee7570
Media jornada,7cb800b0af6abc7d82ce5371401b8e94
Cuenta ajena,77468a2fbbfce733aa088b4d82111c87
Contabilidad de clientes,e71beb54b9491f659d451d09f4001ea3
Gestión documental,590e5a6b7479b9b7c6d86d1957589955
Sap fi,eabaa94a98b2834a8bafe8aceab193d8
Sap re,34d1352c613bdb2109871b5371cf64d0
Accounts receivable,5094db43f6e713184b9410a7a57cb4ca
Inmobiliaria,bf52df873483caa82ff974d435714534
Real estate,fbeee85009597011989059e6b09ba037
Pgc,07e6f5b498cbb0e82cbe1527cb2bea75
Scrum,4db2c0d8fe4b4e96ecea3d51b4ffabfc
Control de proyectos informáticos,da8ba2a116a79cfde6abbef8105941e4
Gestión de proyectos,314544fdd0423b087423ed45067e7943
Venta de cosmética,b3ae7050be5ac7b4ec077aff23728092
Venta y atención al cliente,dec3f35fe19a8e407a973b5536830541
Farmacéutico,a723daebb2bcda5fc3c07f46268c728c
Farmacia,f46f6d2b9afdb1ee0ed96b009d777f91
Plus de nocturnidad,b786d9d72960da5256013854befabe86
Vacaciones,35175a7a2017173d0fd0ba3d93107160
Herreria,812f0172cbce3e93e8055145e6301941
Almacen,22a52bd87e5232e6a474d8c4ad50fc8b
Fontaneria,5f1ebcc32f8612550988ccece9c61865
Electricidad,b6072fbd5aa0f1b357f9eefadb5e715f
Carpinteria,b1358b83e586f5150c5cc7b3e6d3f961
Logistica,3b8b4a51324e4074c2490674dac0f6ef
Cromatografía,e3e7605e008551dcabbb2a43077f4c3d
Liderazgo,7a3ba2e71250434987d1a7256eb62b53
Laboratorio,59d79dfc5e4ef6cb1e22e895cc0b4a6a
Calidad,b4ccea3df606b7df662eb191337cdc9f
Iso 9001,91536b6a063329c871b2f6866fd90c09
Química,7da64a90874539d17eeeb369485879f7
Gestión de equipos,95b6e825f085c76300b630e50ec10a5e
Carretillas elevadoras,053dc645fe9185727910f6e140342f0e
Industrial,1228cccc06ee274e1cb8025a60b73388
Tramitación de pedidos,bf856f9bef81d76c298326209bc498de
Captación de clientes,6aac12edac2c1beba4a9e2be5321cf4f
Compra y venta inmobiliaria,7846a5926952f064486f26bbef6a08a1
Agentes,9a59dbe578acfff3a247d550bcdc4316
Asesor,1d82277bde9686831bb49e904d7b05fc
Viviendas,eadc0a9ececcc654bb82dc35515e310f
Instalaciones de gas,f044003065d69a51c6b25048e67c1a3f
Señales electronicas,39efde16086d4a298eb0aef00fcbba27
Modbus,c19b952251eb9b55ee0c85105779a94f
Control de sistemas electrónicos,931d31dc13633fd9f82039179c574d8e
Electrónica,5865c37a795d90cc7adf8c23192b8825
Conocimiento de cortes de jamón,2546b021d2925e861ab5d83b37661702
Cortes de carne,5497c35c4d770a483453ab692315314f
Charcutería,78258db574b256db26c47eeb21264056
Construcción,23c8e43d941a1a1e273eab54e4a0f472
Arquitectura,8bf559dee2f5597065223ae69d5e888d
Decoración,913eb07cacc5db2438a7c274daa846ab
Sistemas aeronáuticos,c2a3dc581a30f04d14db6086994eaed5
Puericultura,40802278357849f680f710a3b8b93add
Juguetes,b5dc3883524d94b7ccb16e3077cee72c
Reposición,a445da5a673c81c51a7a219a9104dd8a
Asesoramiento de clientes,ecd143592d28cc6eef326db9369c7223
Ventas al por menor,ad12db30b4a1015d30024e06f6835d4e
Venta de moda,2f95e6bbeacb9782d9efd6ed85135980
Venta al detalle,b3cf8f8cccdc5859b90ba23fb1fbf0be
Supervisor,18eba6bb36aa9078c38ff2fe5a9f0d0d
Encargado,76b7683fcb6b5d8c6e35e5b98850eb95
Exchange,992374d8e2e24f17bebc50a6e57becd6
Money transfer,98edc8d23f75eab1af9914c80f3f1e5c
Store manager,5f4b4aa99ba22602c31d2134c6d8df29
Customer service,2273d1167a6212812d95dc8fadbae78e
Servicio en barra,c42d1fd91cf861199b11ce6bea501b96
Cocina,6a487a3f270c69c2ded4a16b9f3d7e9f
Restauración,08ca6ff9ef2c2170f9847d1acbb696b7
Camarero de sala,87a44dbd7b4b209a93d708356394f8d2
Satisfacción del cliente,f042eb2e6488ca8a737f9b33eecc39fe
Ingles,26f9317710ae86c5c69430752313e9de
Coordinador,f27fb1d8bcf2c330fd7e4720a77c0f5a
Administracion,a52058922b684c3c2cffa32c3497f2b5
Crew control,bc39440a4532bee0f2415d1106eeef51
Tripulcion,6290778aae3423f6e7e902620aa5318e
Viajes,1ead1cc707cc4df4ba1455b55b3cb00c
Administración y dirección de empresas,f7e0c317539860eaa26085970728aa7f
Economía,a37cdc4c3a71e572aeb93650e41485b3
Finanzas,c989712e880443a42d6e891e9ac1e5e8
Digitalización,b9032247912711ea2ae0a03ea213f646
Contabilidad,2f3bad3918d1ef9c0993e0123bff5649
Tesorería,84f293be09d2b991b178ff1d7b247b08
Consultoría,3321eded54b22720c364ae7cd2d26c8f
Negocios,2d41e358d1b38bc34079bed0d69ab444
Higiene industrial,17ae8250cd7209f70f1a2775254391fd
Parsable,6cf731d6ab9ab17ec05dcbb07c0324f6
Facturas,f133c6ba500ca0ab2ed990626068132f
Gestión de prevención riesgos laborales,948f7b97d51f4c43332a279f4d943657
Oracle,30162ed78b6c10f731411f2fc440c24f
Donesafe,270d8511878e41246f728324710b96d0
Esker,d1b8039f8b8d168014e46603eefb61e8
Auditorías,46e5ddbc4396eef911796dc028199814
Medio ambiente,25100bc9f8d11c0474d0289190e20f43
Atencion al cliente,c99247693d799757df4ab10dfff70526
Administración,9906329502eee03431d8204a1b3f24bd
Recursos humanos,afc4c00e3591c493edb5950dc58e2ff9
Optimización,eedefe4278b31486333c02e0e5890105
Sector sanitario,8ff69bd805ab706478e359df91981b02
Ingeniería industrial,7b968c79618cb92a738a1f848575db4d
Gestión de personal,8a7668ee62c7e840f340fa1116dea08d
Ingenieria electrica,9112bbd14ee1b0d07b04636561bc2a0c
Materiales,68751ca122004bd195d41eb105d97cc5
Infraestructura,4d1cdbb44a7d5e92555c45767478ba8c
Herramientas manuales,4135fdd18108bc859b4938d35f8e2410
Soldadura,938510cf85c743f31c287bb71970d408
.net,2d50972fcecd376129545507f1062089
Devops,8f8046c51d4156179ee428a684421447
Kubernetes,30136395f01879792198317c11831ea4
Sql,139c4883eb01e5d23c9ff0e44ff29dda
Rest.api,f9f3442a70e3188e1eac481950626eb9
Linux,edc9f0a5a5d57797bf68e37364743831
Reposición de almacén,b267cf1e2209be708315517b6720d815
Catering,e5f6696fe35a80686e78bd72bd59ca17
Inventario de almacén,5092d5d9891d1f5c62c31eaba6994644
Carretilla elevadora,f95cb89c797668e9f01dab73d76feeb1
Alimentación,262dd83db4497e1d8fe03862c531628d
Toro y carretilla,1804a61a7e3f47f85d24268646d9a137
Habilidades sociales,35451410f799bad379ad5c9093b83268
Análisis de resultados comerciales,24604a30b997fe7717f6f69750538d4f
Microsoft excel,0269e9e23b66dddf93d25a72271884c6
Maquinaria,944a73248f775880bb1c268436553317
Atención telefónica,4544976da04125e5606c8e8398c42de8
Elaboración de propuestas,03bfdf2d6a2b64b1b6700541612bf077
Gestión de mantenimiento asistido por ordenador (gmao),cd1d8db264bbde06b93ee4b47dbd497e
Mantenimiento correctivo,2f6f5c4e0702807f29eec7fc3322bf22
Servicio técnico,4ebfdcdc202aa0aaad8ea1d9e402ffa8
Asistencia técnica,056f784612ed4e81070b43c3a0cf06bd
Manipulación y transporte,4008b9b3321415488a4c01062acc91db
Terapia,074f8a3c0c8ab46d1c7020f3f800c852
Ofimática,b30c03146b6d58db4b92757dbf3e7f71
C,0d61f8370cad1d412f80b84d143e1257
Diseño gráfico,8767399cc7b3c8b1db35aa9a36bbb8e6
Desarrollo de productos,bd31ef9c7955e30f8a608ed3c236c528
Maquetación,bcc204e4d0440a5b951fa7025b4a20e0
Marketing digital,4dc1867c4ba6161ea7e5b26422344e96
Rrss,b6dbc020f564d4e15810d195dc28d24b
Icex,aae99c029048ef0587a3afe960ba2203
Organización de ferias y exposiciones,495609925917cf8abef5eb2e9ee330f5
Contenidos web,9f0e65120f051687e2e3be04fb6cffec
Gestión de archivos,4628a4539177de17a26a4ebe0f222e4c
Obralia,6dc6536b7f21db9abf8b79767c11b69d
Microsoft dynamics nav (navision),ccb08bf42725f85e986395286e0934fb
Logística,f685072a8d7afda0fb92c6faaa04bd88
Manejo carretilla,cb83eaa4074207aeea6421266031cc22
Almacenamiento,6a42e122fa0f816045b4c3373b285961
Carga y descarga de mercancías,92b84c80618f708717b39489e1e23827
Elaboración de presupuestos,b375956c5bc50c839044d6cdcb45fcc8
Presupuestos,430cc91b4802eaad8fa4a7997b9102f9
Creación de relaciones,8754537e386b26c673bf72d4ea68a4cb
Resolución de problemas,3c48f33397c05978831ce65047416a1b
Retail,053e0bc8b9627b28e2ed8029a34b35bd
Servicio de atención al cliente,59d98c996e37c8f0fe3648fa6595eeb5
Documentación,a1420688c629cb4bac7dfbe1b180fb42
Electrónica de potencia,5f502dc5630142e1a555b08866074060
Textiles,2c001b115e40ac704909fb7c00487d2d
Costura,1e4f89f1759a9c94b98e36972311e730
Asesoría fiscal,34d9f33e57f36fb6f8d87b928492bf01
Paquete office,5c861e230306e81f7bfe880b0e1f95b2
Auditorías externas,2b22817758c9d2cf1e0418d008f07a80
Estados financieros,e176d1d4a64c224ba08d386faefcf908
Relaciones laborales,b08f14ce2f2bdf380867ac7e0588730e
Gestión de tesorería,80e36cf744bde6bf7b875eb3cd9ed665
Supervisión,a7a64f1c760f93863ff9d0928527fd0c
Api,72664dc0959f3b0c04891f8c7046a9f3
Confluence,1ce38b99de0bc8449e053c0c9d125d14
Jiraxray,cf2ddfeb306902cb5bb7d72a90fc246f
Istqb certified tester,554b406905ee303a1629f467ba9b62dd
Jira,89f846f264788bfaf58c4efbf05de4eb
Kit digital,11b54408a78975df2b44ef20652027ab
Pruebas de integración,41004217c89d1f093697067edea468e7
Rest,55276c10d84e1df7713b441e76e141f9
Postman,6f061e1cad5e2783cea0b2976ed2f4c3
Pruebas funcionales,b39389af2013b56042a888cb5286a10d
Qa,7d14853b807e4477dfae18bf241c335d
Soapui,0c9ea748d8e7e45bde10cd2f212689cf
Inventarios,08b95252378900cc1a4ba4221518b7e1
Lms,218008a1a3ff78b96582c5001ee8507d
Hojas de cálculo,a3b04afa9fec1274d4b21d0e46de438a
Presentaciones,9e6ba257a43e48068ed8bc0742f04229
Gestión de incidencias,6655c1657f95a783737b66da8ae56408
Teleoperador,7f7308ca7f426f1823d5b87d78776c39
Banca,cd18c99086c9e291e8e4cff8d66e714f
Conducción,8a07283ae885319cae7968c3cde0e6c0
Pisos,577d75d4c24b9459a65f71569596716c
Limpie,35bb9dfdb1c30307616d16a8de767c50
Camarera,8cd42bd6301d6a3b027158419133de80
Limp,9583aa19420093d3e236ab1f61fb3599
Alojamiento,ebffa26d2cf883409b24b132e0ba4342
Gestión de activos,6fa80f36cef4b109af307c76600259ae
Contabilidad analítica,1d9dbd4c9825e4b9f8073a98bd2079ba
Asientos,b6e6cf00bb285a41114876f7218e29e9
Restauraciones,976104d0127365e5f921b485fe28b109
Saber hace endodoncias,fd5aaf1ba006bfca2ccc8838529b7d26
Capital humano,2fe7565c3e163ef38653a5f3aff71921
Relaciones públicas,9749b84591a7dc818b6f649a50e50c72
Higiene,0c5962975c65c550302a6e2e07f026f9
Puesta en marcha,5794f2d8f56112bdf5293ac4bf937436
Hoteles,f637e91636f7f95524338cf3e9d11aa6
Informática en sector energético,7855da119c12b485268680ae0f5b28b9
Portugués,d84f5f223e29a650c524f38dfc137165
Retención de clientes,6ba9a755e39ba38b8427e8a0fdaecaa3
Venta cruzada,8f8402fcbc4a2e1fdd2db3cc16ade18c
Marketing de fidelización,91149dc1589fb8d0759ff2881054ce54
Legislación laboral,0a7320c9f5aa7f68d907e648aa80b3f6
Conocimientos contables,cbd0d4c489a105a2515ebf66d8294cd9
Gestión de personas,bfba99f857614e82e4bf76675339f975
Lletres de crèdit,5755177b1ddab43e789105c799f531aa
Pack office,dde1e5657a61992f20907ad84a74fd60
Logística internacional,8491c2c9e4964636b76ce614a2d4b019
Erp,af15411f05550d25297a1cef009a8b5e
Administración logística,17bfedadb3c2eb29c57698c21bbd9578
Expedición,c27e7aa433823fd5a4452e931480f9ef
Contratación de servicios de logística,3adac79e956ac7de7bd2263d7d407a73
Estrategia logística,9a94c1d30ae270bf7795d8977d158b76
Envíos,dfe725292f361703de007f56d16e655d
Logística de transportes internacionales,936483917f6396bbe8a3887ce99e9bf4
Contratos,be5ae7ae021084dad9cbd67930c938c3
Asistencia,b36174ebb807eba85885a6888b7beec9
Solución de problemas,4c440db19891a2a634fcf75201cd7b79
Flexibilidad,3913c2bac05d465ddb039648476e85fb
Orientación,8be11b846a93b35ac9cb6e5ee5f381b1
Crm inmobilario,ee7d5ca90fa94bf82ec4c670521335c9
Edición lightroom,45e2e5c33a94ce36fb98525717c5b7ed
Carnet de conducir,31e414567ec7b528a519eb4df82f8937
Gestión de pedidos,171c8a1450039eb0af20386662330a7b
Exportación / importación,01539b397aa115a710217a9ea9d29e9c
Entorno,795670cb3298754fbd53749a94a86819
Comercio exterior,192df596a0005c12c74c060a78c4a44e
Back office,b28aaa7d2f8c959ac0a42ec3859a39b4
Estrategia,c2130f8f79d8e6846f88c23ef91e7414
B2 ingles,6132de1e7dc9281020ba38b75657a2b5
Carnet conducir,416270059934da74f4e6e73692c17e27
Cerrajeria,35bba154046f33da46cd5ee90f217404
Control interno,624e0559c0e60a829af3f78890cc95f5
Gestión de albaranes,f5c3dbad04341db534c022f45a89892f
Gestión administrativa de proveedores,f40170a9ba59d218dbbdc803a04f285f
Alquileres,7b288c2c9b396be2c7b21cad4e2ce6f4
Conductor,36863bb60e791696c8829546b232c51c
Mecánica industrial,894a441d2bd2b89ead33acb93b3755fa
Herramientas profesionales de limpieza,3a0c632a4935d5747484856fdf7179a4
Jardín,d4297bdcb4173749f9f067ed912449e7
Materiales de construcción,cd4a2f53dcfd23b4b953e2e10dfb78af
Recepcionista,cf5c0ebc17fac0804d66f8fc40a59097
Recepción,5d96711262ef55f0fa57e85b3c4e3b9d
Punto atención al cliente,af2f58206ec67ce004d74ae65572f04f
Farmacología,ce22b38399556184d0672991f521f6a3
Nutraceutico,1f7bc11a671eb2b92c44d81e8f4d6298
Marcas,7b0dbc7ef2e3c5e3d82aca2f7ad64dbf
Gestión de clientes,1e45a8f1151bca69fa9c9c8431858a42
Director,7c5ba892645af8d7dba520e3978c726f
Mejora de procesos,6b6ba7c7aaf568267c0c9eded1ddde0b
Seguridad alimentaria,1146735cad80036a51f3ea247e14fb90
Gestión de la calidad,2e9db58e2d05549711e22273e0f922b8
Sistemas de gestión ambiental,0728e37636682e5ca957c3500df2064f
Calidad iso 9001,ae754747f6eee42bcab5b50212d9c56b
Auditorías internas,0013f6826b4f28643aa4b6a33145456a
Iso 14001,be018733946ca0226de89a28aba1f4e6
Planificación comercial,e2213aa78a4ac1d45ac5ff5665c39a84
Vinos,402e4699b5af5cf4847e9d042c3482cd
Gourmet,0828abc672148441b3ad47023650f8ab
Modelos estadísticos,1a59d111fdc3bdd41f730e5374d7c4a0
Estadística,19479f8c0169c8d62ca4450443078b46
Bases de datos,a343cee1a6b5026da2fdd2e0b5262575
Extracción de datos,6313aa7875e0488ee699a8aad41ed813
Semrush,c835ab611a8e5f3da3afc600bf0374b6
Wordpress,dcec9b13c1de515016a3bc0f92cfa345
Sem,92634c58d9d04f5b8214a2dc99795d69
Google analytics,af5271b6a0b4cfe0588369d98de77c63
Google merchant center,c0fabc9313c34c77ada8a40c304233de
Business manager,ddc82a922d3343af4f77b4755de93382
Google ads,34a061c7249759af61e58eff00b2d75e
Google my business,c9028918a648df4baf475eaf3190006f
Mecánica,acf03bb1b2b79d7808fa1fa42f576387
Superintendente,ec42d40823f872b0103918a9665bad8b
Acidosulfurico,064c7733909fa6dc0106685579799355
Rotativos,d40fe6b8323082024b08883d710687fe
Equipos,4b511bad2c32b63ff2afb991137d1d32
Oil,2e69df5961f20aee0897cf1905156344
Commissioning,f16024549f6c8ab5cf5c206146e6abb4
Comisionado,17661109341a24dd3cdaf6a2f8d0d48c
Estáticos,46a5b22d3899e2c28a5f14ba6f55b664
Mercado de recambios de automóviles,b7c7a1bf76f0e9807349cc29f8f0444b
Aprovisionamiento,36442c86250e7791cde68874f8dfe38e
Talleres,d76f35cdc30d1416c011e23263714c35
Comercial recambios,d2605de6ff77045dc5558f9c4dd47693
Entrevistas,516f8e7cc9b4ea62874aa85a01bafa2b
Fontanería,a419e4af9d2ab74ea26909407001be50
Piscinas,e87b9ff5706c0dc5a1fa0323a5247e51
Motores,bbe16d29f91ea7a90e450b05ac7bd07b
Meta4,1de2406515e63327f7f2a5e291badc9f
Seguridad,c1d6a6718486dc402053424a640a8de6
Cae,df49dec043289ced0cb702bffb0500d1
Ética,1a09f4c2610bb18ab68161143ed70d5d
Mantenimiento preventivo,ed6b14d8884cc6c9f6e4f48f193b95e9
Infojobs,a42c2da7ecfc810d1d46438fe5197471
Técnicas de selección de personal,bc763a1dc0800b786077cbaccaf13901
Búsqueda,24ad1c762beaff78cfaa2c5143016463
Selección de personal técnico,30b534294f2cfffb109e3140e65cd14a
Linkedin,44e2308cdc51a0a1a5350ba3937e0b5e
Clima laboral,a98ffaf267195507bbb8019f88976307
Publicidad para la selección,4e7db0acaae95fa3f5a565652900d3ba
Selección de personal,ad09c1a9b79bccaa4f6387282346d4c4
Aptitudes para realizar entrevistas,4a28cd37b00774fd56c5e9f4f9fbf35c
Iso9001,a92728336a42f53f83a40ab9b75d68e3
Gestión y seguimiento de ofertas,ec2d8ab6289b95c1f01c48d52506e5f9
Prototipado rápido,d563459e4d660b0e406647653f33bf36
Salesforce,4a6dbb2ff650f82af801f71c3efd72c3
Informatica,54e7077835580c59b40e6aa12a82c488
Helpdesk,39693d97b31501b7cc1deb91798312c1
Microsoft,140864078aeca1c7c35b4beb33c53c34
Google workspace,d69cf6087a9fb1c5be7926d256d8e82e
Herramientas de ticketing,c3b37d9135442c33143a9fe1addab317
Muebles,6c0719add6957d0e44260400db7f2734
Autokitchen,26b2dc29536e6235b79b930dd7ee0bda
Diseño,6bc4688d611b0da5e2b0d348ccdb1e1f
Mobiliario,b90ae3a61d2475e0916018409cea024a
Ventas y atención al cliente,df635c07bee8dc76ee6d000b2b225390
Telemarketing,3e7ebe7c174ad5da159a3aafa043f620
Telecomunicaciones,17b7ce1b94f4937ad8b12f672b5d9dae
Emisión de llamadas,67301b9c1de5f3d1bbbcc10ddf0efcbe
Bono digital,81344c373d304c3297ec7b47c45482e5
Venta,62daa7a6b462b2bb71bb63bf6737b4ac
Mantenimiento de maquinaria industrial,9945fae25848f5237b0a3e114d57f7e4
Transpaleta,b35f1b51319b45194abb46f640ac4246
Francés,75357f6288b1eb7180e56d572a16a0cd
Gestión comercial,bdcb9e6b99a324525f8231602c2bce93
Pmp project managament professional,286e0fc8a9a083cdc6cb09987de33ca4
Digital,0bb8309239953b782fec18706fe60b4a
Desarrollo de proyectos,0832eb24cd369bfbfa43acdfa466361f
Gestión de subvenciones a la formación,3ba11587990b269525ae5c005e6fdcd6
Pmi project management institut,b8479f00440458ce773508d7267083ca
Limpieza de instalaciones públicas,27061cddf30b2a12aa90c551352551f0
Limpieza industrial,0cc540f890e101c7158d347ba52dca92
Servicio de habitaciones,73726e45ee91963dcbc12371142ca918
Limpieza de habitaciones,014bd106b65e69a1723b430d6035c459
Limpieza de centros sanitarios,1c5a2e225b8cf6c717b54571504e2ab5
Máquina de lavado y limpieza,9ead533162a1479eacad8927d5314dcf
Calzado,fa8d448c24d95da1108aae2903d2ee9a
Kpi,c64314824f406c274b7735c4f888385c
Informática,6d5a2b27b31911c32c62e93f1e52cf42
Flexibilidad de horarios,b54439fe1c3b00f358d4d568d1283774
Don de gente,2dfbed3d564cb1bb44dd1efb6d0b2348
Orientación a resultados,4e821b7f6e4a18397d4918afc6d2537f
Programación de reuniones,64fa3e5dba04c059b4fda4aed50fe114
Trabajo de secretariado en empresa,76fac49c4d92cc9ae9fe3a40eb901f7e
Relaciones institucionales,a3aa216356610c3c5455980cccae779b
Capacidad de análisis,31c5b072f8c524c292b9da781e2dd2dc
Control de calidad,c2b277a4889b1c808c991ca5552cfd6a
Preparación de pedidos,763475a910266573e3a7697628a2e4df
Altos conocimientos en sap logística,33324565430795ddf54c52300766939e
Sap-mm material management,2b9021dea907c05a618c622da93209b0
Sap-pp product planning,a9a329b65a9b58a9574e35365c3939a9
Sap-qm quality management,37f4a677e81240dd1c5a23c74f6dd31d
Sap sd,c3edee6a713df223105caf747359a6eb
Albañilería,6f077c738bb5b6ef587f0490013de090
Instalaciones,cc889b762d067326bd5339e23e653df9
Mantenimiento de instalaciones,37793ca5143b537514c50f98d4bdd197
Pintura,b19b3c844bd971b8152deb83dd095b13
Chofer,2eafe20dfe63045b955d3318561cce4b
Nóminas,51b0830ea971358f75e6365bae3d0be0
A3rp,eb7974afb0366813d083904cf5d656a6
Archivos,81360e3a3a58f3c54f9356c920ebae1a
Gestión de servicios,3f27729fb5c7d41586378e0f78cb73e3
Diseño de campañas de marketing,e8a4fa679307eb52253f8016c6f9f096
Archivo,5b84de62c213ac6e86cfffeaa7295aca
Evaluación de campañas comerciales,896c54ae34cdd03a97a8f60894741a78
Redacción de contratos,eb760507b0c0a0ddc32b4072aa6af745
Conocimiento de electronica,0165a6abc92778509ba53deb91f173bb
Venta de electrónica de consumo,2647241b60b311eb88cf027e9a1078df
Grúa torre,09f7d554c85d167170924cfbb5a8d25e
Marcaje,38e0f4741c3605d47471c75853d4a8b8
Ejecución de obra,e76f2d8bf3b9f99bbf84b78300395c7d
Python,a7f5f35426b927411fc9231b56382173
Java,d52387880e1ea22817a72d3759213819
Protel,686d02a7e97773c8f53acbb1bd31ae1f
Control de la calidad de procesos,a13604c6ca44053e4f47769e29ab9f14
Gestión de proveedores,5ce1a6ffb5e88d09fef032c3e8a28c24
Cms,e481e3f6fd59d90fe1b286d6b6d3f545
Office 365,3167175ad233d64a69986ea8d51e82f1
Seo,67a30d0847a390ae56549987bb2d469a
Educación secundaria,d5cd6eb813ce4c2a8943d628c60e683c
Estetica,06b12bd5536e2324c4c61ae80dcb65c4
Depilación láser,17916a233d19f9967a30c06723503f46
Venta en punto de venta,e686324870384480084686df2b972d2d
Medicina,ca9e981d538d581fbbbf471203db26d8
Retirada de suciedad,93f509a9e71b851327417901747be623
Uv-b,77590f3150413b90c07baeb66fe02b53
Ozono,99e6efce7dd3e1bc6aba802445eda6f9
Desinfección,21bc199d1cf5de60ebc727a8fd76c964
Limpieza,3ecabcb1002797e9e06f3198d7820e0d
Polvo,e0d65f3392015908a25ea4f127815a15
Reparación mecánica de electrodomésticos,b19d99f4740698746dd22d6016893edf
Climatización,88af8216435fb21040fd68a71acbb275
Reparación eléctrica de electrodomésticos,7afda9d751a013a1dd2b9df73352506b
Limpieza y orden,3987412b83a75a1934a3d67e97a96b50
Puntualidad,9aa4bd835825e6b315a52b25ca83c1ab
Buena atención al cliente,bf69334ddb73f8be0d5de575607f2287
Empatia,477c2070414cc5f97e19d3d3d72b49d2
Normativa de la seguridad social,6490c9d40fc018d045bd927cc7b82f23
Vue,2d8ec58babcec05d3fe8f712968de749
Venta a puerta fría,b64e3bcd0c93a658550e8da70f4999b0
Venta de telecomunicaciones,81a69d28f6130b22b543446e47e97555
Mozilla firefox,b8a299531c1562fda072d0fba07bd8dd
Angularjs,5b9451981ccd815eec8e7efb07ea0fb3
Venta de aplicaciones de gestión,565ad50826d0aa8c2ba7954e6eb88754
Capacitación de ventas,ab26caaece536d829f119978fb5fc4b2
Gestión de suministros,85a6124467c2dd7bc490a6cd5402fe16
Php,2ec543bde83a1a3ed7eb0676e664a8bc
Mysql,9edb3c572b56b91542af659480518681
Desarrollo web,b315d3f40f28fa66678f5cfe679f2431
Lenguajes de programación,9225a1138b69aa3f924248b454cc7939
Escucha activa,421c5fcca3d5e5b66c80abb94a72b2a2
Administración de sistemas,e56104032a4fc96ec1dfc11e00da5980
Windows,aea23489ce3aa9b6406ebb28e0cda430
Dhcp,e6b3a5a37101d6844998ad445ea054d0
